"","date","positive_share","negative_share","ISMI"
"1",1991 Q2,0,0,0
"2",1991 Q3,0,0,0
"3",1991 Q4,0.0210276138492215,0.461620576446656,-0.440592962597434
"4",1992 Q1,0.029217171969932,0.562092746254016,-0.532875574284084
"5",1992 Q2,0.00476668090050547,0.472388007825301,-0.467621326924796
"6",1992 Q3,0.0489247153658321,0.373167407058731,-0.324242691692899
"7",1992 Q4,0.0452564825801934,0.422656447565507,-0.377399964985313
"8",1993 Q1,0.0230307236987978,0.487173554675073,-0.464142830976275
"9",1993 Q2,0.00298989358653497,0.570391456355196,-0.567401562768661
"10",1993 Q3,0.0254858957876427,0.632969069046359,-0.607483173258716
"11",1993 Q4,0.0628947270077357,0.542462349116185,-0.479567622108449
"12",1994 Q1,0.105515631774615,0.298761081539838,-0.193245449765224
"13",1994 Q2,0.0864687925263894,0.269787414027732,-0.183318621501343
"14",1994 Q3,0.0507161262713176,0.34534313055988,-0.294627004288563
"15",1994 Q4,0.0745039646944853,0.601180438448567,-0.526676473754081
"16",1995 Q1,0.0716068377597481,0.363660759810718,-0.29205392205097
"17",1995 Q2,0.060196028175736,0.380124970171547,-0.319928941995811
"18",1995 Q3,0.0386899044758395,0.343267031067181,-0.304577126591342
"19",1995 Q4,0.0350785477167577,0.5148425996114,-0.479764051894642
"20",1996 Q1,0.0297837337628954,0.486162045446756,-0.45637831168386
"21",1996 Q2,0.0740885361402317,0.438580705402997,-0.364492169262765
"22",1996 Q3,0.0462279726405876,0.43812123049968,-0.391893257859092
"23",1996 Q4,0.0513754512040349,0.44281452423728,-0.391439073033245
"24",1997 Q1,0.0432004916866145,0.448583166203015,-0.4053826745164
"25",1997 Q2,0.0429863530314168,0.252548819073796,-0.209562466042379
"26",1997 Q3,0.0344602203375149,0.284808681203588,-0.250348460866073
"27",1997 Q4,0.0308412523134827,0.194130363780581,-0.163289111467098
"28",1998 Q1,0.0265748260535685,0.185635941948045,-0.159061115894476
"29",1998 Q2,0.0121441400129925,0.188513126218044,-0.176368986205052
"30",1998 Q3,0.0288539434732244,0.338888089703889,-0.310034146230665
"31",1998 Q4,0.0222675416152434,0.27960476806839,-0.257337226453147
"32",1999 Q1,0.0394617041593569,0.213438150015175,-0.173976445855818
"33",1999 Q2,0.0231301151035056,0.132201263366741,-0.109071148263235
"34",1999 Q3,0.119789651664302,0.169940821619453,-0.0501511699551505
"35",1999 Q4,0.145212495767017,0.287871091545321,-0.142658595778305
"36",2000 Q1,0.101415028773178,0.287425982041089,-0.18601095326791
"37",2000 Q2,0.0806631803321385,0.17436241886733,-0.0936992385351912
"38",2000 Q3,0.0972898218949093,0.180823996186819,-0.0835341742919097
"39",2000 Q4,0.228840062814405,0.141685076255623,0.087154986558782
"40",2001 Q1,0.153370186155125,0.068320645935855,0.0850495402192699
"41",2001 Q2,0.172789930295674,0.0683896413253584,0.104400288970315
"42",2001 Q3,0.185526674366395,0.133040916700191,0.0524857576662039
"43",2001 Q4,0.10005262549898,0.273376631711356,-0.173324006212376
"44",2002 Q1,0.0955019351260038,0.212756703604251,-0.117254768478247
"45",2002 Q2,0.128059125091766,0.0835302318981844,0.0445288931935816
"46",2002 Q3,0.213879768772043,0.0590739917279356,0.154805777044108
